,Outcome,Order,Date,EMA,Points,Take Profit,Stop Loss,Entry,Amount,Profit,Challenge Profit
0,LOSS,BUY,2015-12-02 12:30:00,17829.527271384755,22.450000000000728,17885.585,17829.46,17851.91,-2000.0000000000002,-2000.0000000000002,-2000.0000000000002
1,WIN,SELL,2015-12-14 14:50:00,17348.06082426072,31.529999999998836,17268.295000000002,17347.12,17315.59,2999.9999999999995,999.9999999999993,999.9999999999993
2,LOSS,BUY,2015-12-16 12:00:00,17497.780914149527,42.159999999999854,17627.5,17522.1,17564.26,-2000.0,-1000.0000000000007,-1000.0000000000007
3,LOSS,BUY,2015-12-17 11:50:00,17577.101966870465,62.5,17722.88,17566.63,17629.13,-2000.0,-3000.000000000001,-3000.000000000001
4,WIN,BUY,2015-12-24 10:50:00,17472.422452018334,17.55999999999767,17593.229999999996,17549.33,17566.89,3000.0,-9.094947017729282e-13,-9.094947017729282e-13
5,LOSS,BUY,2015-12-30 10:45:00,17622.74243347995,21.81999999999971,17711.39,17656.84,17678.66,-2000.0000000000002,-2000.0000000000011,-2000.0000000000011
6,WIN,SELL,2015-12-31 13:05:00,17598.420042969537,70.61000000000058,17413.515,17590.04,17519.43,2999.9999999999995,999.9999999999984,999.9999999999984
7,LOSS,SELL,2016-01-04 14:30:00,17327.146934130746,53.45999999999913,16953.530000000002,17087.18,17033.72,-2000.0000000000002,-2000.0000000000002,-2000.0000000000002
8,WIN,SELL,2016-01-08 13:05:00,16716.771245833068,54.01000000000204,16437.424999999996,16572.45,16518.44,3000.0000000000005,1000.0000000000002,1000.0000000000002
9,LOSS,SELL,2016-01-14 12:55:00,16357.46713267315,55.27000000000044,16258.955,16397.13,16341.86,-2000.0000000000002,-1000.0,-1000.0
10,WIN,BUY,2016-01-21 14:55:00,15883.572612849264,123.38000000000102,16117.100000000002,15808.65,15932.03,2999.9999999999995,1999.9999999999995,1999.9999999999995
11,WIN,BUY,2016-01-22 12:20:00,15934.49476895528,34.88999999999942,16074.005,15986.78,16021.67,3000.0,5000.0,5000.0
12,LOSS,BUY,2016-01-25 10:30:00,15986.056322586172,44.20000000000073,16113.650000000001,16003.15,16047.35,-2000.0,3000.0,3000.0
13,LOSS,BUY,2016-01-26 15:35:00,16065.109447586849,37.76000000000022,16198.490000000002,16104.09,16141.85,-2000.0,1000.0,1000.0
14,WIN,BUY,2016-01-27 10:40:00,16064.969820170354,77.32000000000153,16181.520000000004,15988.22,16065.54,3000.0,4000.0,4000.0
15,LOSS,SELL,2016-01-28 13:20:00,16037.38692867785,79.22999999999956,15848.695000000002,16046.77,15967.54,-2000.0,2000.0,2000.0
16,LOSS,BUY,2016-02-01 10:40:00,16224.253767915296,87.18000000000029,16519.41,16301.46,16388.64,-2000.0,0.0,0.0
17,LOSS,BUY,2016-02-04 14:55:00,16291.08725782111,57.789999999999054,16466.004999999997,16321.53,16379.32,-2000.0000000000002,-2000.0000000000002,-2000.0000000000002
18,LOSS,SELL,2016-02-09 11:50:00,16038.636109640101,89.20000000000073,15817.329999999998,16040.33,15951.13,-2000.0,-4000.0,-4000.0
19,LOSS,BUY,2016-02-10 12:25:00,16034.363311110485,51.36000000000058,16127.61,15999.21,16050.57,-1999.9999999999998,-6000.0,-6000.0
20,LOSS,BUY,2016-02-18 11:55:00,16294.172215226221,52.38999999999942,16532.454999999998,16401.48,16453.87,-2000.0,-8000.0,-8000.0
21,WIN,BUY,2016-02-19 10:20:00,16344.800858057826,77.25,16471.125,16278.0,16355.25,2999.9999999999995,-5000.0,-5000.0
22,LOSS,BUY,2016-02-22 15:40:00,16487.94565008495,29.63000000000102,16663.915,16589.84,16619.47,-2000.0,-7000.0,-7000.0
23,LOSS,BUY,2016-02-26 12:30:00,16565.54940675751,37.659999999999854,16772.85,16678.7,16716.36,-2000.0,-9000.0,-9000.0
24,WIN,BUY,2016-02-29 10:40:00,16605.280502793896,25.720000000001164,16667.120000000003,16602.82,16628.54,3000.0,-6000.0,-6000.0
25,WIN,BUY,2016-03-02 10:55:00,16727.938309414083,76.04999999999927,16956.445,16766.32,16842.37,3000.0,-3000.0,3000.0
26,LOSS,BUY,2016-03-04 15:25:00,16920.88261586459,53.080000000001746,17079.680000000004,16946.98,17000.06,-2000.0000000000002,-5000.0,999.9999999999998
27,WIN,BUY,2016-03-07 10:00:00,16929.70583660853,47.529999999998836,17065.804999999997,16946.98,16994.51,3000.0000000000005,-1999.9999999999995,4000.0
28,LOSS,BUY,2016-03-07 15:15:00,16984.203768297495,56.5,17129.42,16988.17,17044.67,-2000.0000000000002,-4000.0,1999.9999999999998
29,LOSS,BUY,2016-03-09 10:30:00,17000.098499351992,70.04999999999927,17123.754999999997,16948.63,17018.68,-2000.0,-6000.0,-2.2737367544323206e-13
30,WIN,BUY,2016-03-14 10:30:00,17099.519847758736,35.10000000000218,17249.460000000006,17161.71,17196.81,2999.9999999999995,-3000.0000000000005,2999.999999999999
31,WIN,BUY,2016-03-15 10:25:00,17164.849653651425,62.56999999999971,17296.325,17139.9,17202.47,3000.0,-4.547473508864641e-13,5999.999999999999
32,WIN,BUY,2016-03-18 14:05:00,17450.257082151405,25.55000000000291,17609.295000000006,17545.42,17570.97,3000.0,2999.9999999999995,9000.0
33,WIN,BUY,2016-03-21 11:05:00,17497.94626692287,30.68000000000029,17627.98,17551.28,17581.96,2999.9999999999995,5999.999999999999,12000.0
34,WIN,BUY,2016-03-22 10:25:00,17555.27345762448,22.739999999997963,17614.529999999995,17557.68,17580.42,3000.0,9000.0,15000.0
35,WIN,SELL,2016-03-23 14:25:00,17568.587527328837,41.7699999999968,17474.245000000006,17578.67,17536.9,3000.0,12000.0,18000.0
36,WIN,BUY,2016-03-30 13:40:00,17622.381524546392,27.12000000000262,17747.240000000005,17679.44,17706.56,3000.0,15000.0,21000.0
37,WIN,BUY,2016-03-31 15:05:00,17684.59473397213,17.409999999999854,17713.245000000003,17669.72,17687.13,3000.0000000000005,18000.0,24000.0
38,LOSS,BUY,2016-04-01 10:10:00,17680.10524166105,97.56000000000131,17841.160000000003,17597.26,17694.82,-2000.0,-2000.0,-2000.0
39,LOSS,BUY,2016-04-06 15:00:00,17667.911957312015,68.62000000000262,17788.260000000006,17616.71,17685.33,-2000.0,-4000.0,-4000.0
40,LOSS,SELL,2016-04-07 13:50:00,17630.79177351135,59.64999999999782,17451.225000000006,17600.35,17540.7,-2000.0000000000002,-6000.0,-6000.0
41,LOSS,BUY,2016-04-14 15:30:00,17856.82496548361,22.080000000001746,17962.800000000003,17907.6,17929.68,-2000.0000000000002,-8000.0,-8000.0
42,WIN,BUY,2016-04-19 13:00:00,17972.221391459716,33.31999999999971,18067.73,17984.43,18017.75,3000.0,-5000.0,-5000.0
43,LOSS,BUY,2016-04-21 10:25:00,18060.49490872562,26.30000000000291,18109.350000000006,18043.6,18069.9,-2000.0,-7000.0,-7000.0
44,LOSS,BUY,2016-04-26 11:55:00,17964.414456058166,32.04999999999927,18024.394999999997,17944.27,17976.32,-2000.0000000000002,-9000.0,-9000.0
45,LOSS,BUY,2016-04-28 10:35:00,17989.7541784639,31.18999999999869,18043.714999999997,17965.74,17996.93,-1999.9999999999998,-11000.0,-11000.0
46,WIN,BUY,2016-05-09 11:55:00,17693.656040689522,26.159999999999854,17733.78,17668.38,17694.54,3000.0000000000005,-8000.0,-8000.0
47,LOSS,BUY,2016-05-11 10:35:00,17809.12053137985,50.81999999999971,17938.39,17811.34,17862.16,-2000.0000000000002,-10000.0,-10000.0
48,LOSS,SELL,2016-05-18 12:00:00,17605.844055721653,40.95000000000073,17474.034999999996,17576.41,17535.46,-2000.0,-12000.0,-12000.0
49,LOSS,BUY,2016-05-20 14:20:00,17505.20686331695,25.36999999999898,17557.894999999997,17494.47,17519.84,-2000.0000000000002,-14000.0,-14000.0
50,WIN,BUY,2016-05-23 12:25:00,17508.002856233095,11.319999999999709,17533.63,17505.33,17516.65,3000.0,-11000.0,-11000.0
51,WIN,BUY,2016-05-26 11:25:00,17768.730363414405,29.68000000000029,17878.02,17803.82,17833.5,3000.0000000000005,-8000.0,-8000.0
52,LOSS,SELL,2016-06-03 12:45:00,17776.622960741002,35.36999999999898,17720.245000000003,17808.67,17773.3,-1999.9999999999998,-10000.0,-1999.9999999999998
53,LOSS,BUY,2016-06-08 14:15:00,17951.733246965454,18.350000000002183,18013.635000000002,17967.76,17986.11,-2000.0,-12000.0,-4000.0
54,LOSS,BUY,2016-06-20 13:50:00,17762.242230028343,24.570000000003347,17912.09500000001,17850.67,17875.24,-2000.0000000000002,-14000.0,-6000.0
55,LOSS,BUY,2016-06-21 10:10:00,17786.99587070554,39.0,17898.95,17801.45,17840.45,-2000.0,-16000.0,-8000.0
56,LOSS,BUY,2016-07-01 15:05:00,17825.65366630463,34.659999999999854,18014.65,17928.0,17962.66,-2000.0,-18000.0,-2000.0
57,LOSS,BUY,2016-07-05 10:35:00,17840.557876238552,37.94000000000233,17916.770000000004,17821.92,17859.86,-2000.0000000000002,-20000.0,-4000.0
58,LOSS,BUY,2016-07-07 12:35:00,17873.102300018112,15.569999999999709,17921.145,17882.22,17897.79,-1999.9999999999998,-22000.0,-6000.0
59,WIN,BUY,2016-07-13 12:15:00,18278.577397634355,24.070000000003347,18375.935000000005,18315.76,18339.83,2999.9999999999995,-19000.0,-3000.0000000000005
60,WIN,BUY,2016-07-14 14:10:00,18393.03627587848,24.950000000000728,18531.015,18468.64,18493.59,3000.0000000000005,-16000.0,0.0
61,WIN,BUY,2016-07-15 13:05:00,18449.558860231395,13.25,18504.745,18471.62,18484.87,3000.0000000000005,-13000.0,3000.0000000000005
62,LOSS,BUY,2016-07-18 13:35:00,18491.87114637409,17.529999999998836,18556.504999999997,18512.68,18530.21,-2000.0000000000002,-15000.0,1000.0000000000002
63,WIN,BUY,2016-07-19 12:35:00,18510.43876236573,14.099999999998545,18542.589999999997,18507.34,18521.44,3000.0,-12000.0,4000.0
64,LOSS,BUY,2016-07-29 15:40:00,18440.435123487085,28.360000000000582,18483.350000000002,18412.45,18440.81,-2000.0,-14000.0,2000.0
65,LOSS,BUY,2016-08-04 14:05:00,18345.817622890743,12.06000000000131,18366.310000000005,18336.16,18348.22,-2000.0,-16000.0,0.0
66,LOSS,BUY,2016-08-08 13:15:00,18470.466642085474,9.860000000000582,18535.65,18511.0,18520.86,-2000.0000000000002,-18000.0,-2000.0000000000002
67,WIN,BUY,2016-08-09 14:55:00,18514.99558045547,15.819999999999709,18547.3,18507.75,18523.57,3000.0,-15000.0,999.9999999999998
68,LOSS,BUY,2016-08-12 10:20:00,18569.08901109921,13.93999999999869,18616.729999999996,18581.88,18595.82,-2000.0000000000002,-17000.0,-1000.0000000000005
69,LOSS,SELL,2016-08-22 11:20:00,18551.068168682363,59.41000000000349,18412.054999999993,18560.58,18501.17,-2000.0,-19000.0,-3000.0000000000005
70,LOSS,BUY,2016-08-23 12:40:00,18555.378615682795,15.029999999998836,18589.114999999998,18551.54,18566.57,-1999.9999999999998,-21000.0,-5000.0
71,LOSS,BUY,2016-08-29 16:00:00,18480.484036488928,9.4900000000016,18517.225000000006,18493.5,18502.99,-2000.0,-23000.0,-7000.0
72,WIN,BUY,2016-09-02 14:05:00,18433.244982434346,28.210000000002765,18509.625000000007,18439.1,18467.31,3000.0000000000005,-20000.0,3000.0000000000005
73,WIN,BUY,2016-09-06 11:20:00,18451.550154233904,34.01000000000204,18535.345000000005,18450.32,18484.33,3000.0,-17000.0,6000.0
74,LOSS,BUY,2016-09-07 11:55:00,18486.194027011756,21.099999999998545,18530.969999999998,18478.22,18499.32,-2000.0,-19000.0,4000.0
75,LOSS,BUY,2016-09-08 10:35:00,18491.352114508678,44.409999999999854,18559.635000000002,18448.61,18493.02,-2000.0,-21000.0,2000.0
76,LOSS,SELL,2016-09-12 13:25:00,18266.946009105704,90.5,18037.97,18264.22,18173.72,-2000.0,-23000.0,0.0
77,WIN,SELL,2016-09-14 12:40:00,18153.581560691535,36.63000000000102,18049.064999999995,18140.64,18104.01,3000.0,-20000.0,3000.0
78,LOSS,BUY,2016-09-22 14:55:00,18291.99527236255,40.81999999999971,18468.14,18366.09,18406.91,-1999.9999999999998,-22000.0,1000.0000000000002
79,LOSS,BUY,2016-09-23 10:50:00,18312.344495488855,9.18999999999869,18357.445,18334.47,18343.66,-2000.0,-24000.0,-999.9999999999998
80,WIN,BUY,2016-09-28 11:45:00,18208.16377233517,30.88000000000102,18256.54,18179.34,18210.22,3000.0000000000005,-21000.0,2000.0000000000007
81,LOSS,BUY,2016-09-29 12:05:00,18255.973225782735,53.89999999999782,18406.739999999998,18271.99,18325.89,-2000.0,-23000.0,6.821210263296962e-13
82,LOSS,BUY,2016-10-04 11:45:00,18259.04725786769,72.08000000000175,18370.770000000004,18190.57,18262.65,-1999.9999999999998,-25000.0,-1999.9999999999998
83,LOSS,BUY,2016-10-10 13:10:00,18285.95165650679,26.229999999999563,18399.034999999996,18333.46,18359.69,-2000.0,-27000.0,-4000.0
84,WIN,BUY,2016-10-14 12:50:00,18145.634202631427,28.38000000000102,18213.07,18142.12,18170.5,3000.0,-24000.0,-1000.0
85,LOSS,BUY,2016-10-14 15:30:00,18153.255093752297,30.510000000002037,18218.395000000004,18142.12,18172.63,-2000.0,-26000.0,-3000.0
86,LOSS,BUY,2016-10-20 10:00:00,18192.3317676018,43.220000000001164,18310.530000000002,18202.48,18245.7,-1999.9999999999998,-28000.0,-5000.0
87,LOSS,BUY,2016-10-24 13:25:00,18180.64106400365,15.569999999999709,18238.774999999998,18199.85,18215.42,-1999.9999999999998,-30000.0,-7000.0
88,WIN,BUY,2016-10-26 14:35:00,18185.26400378524,43.06999999999971,18252.704999999998,18145.03,18188.1,3000.0,-27000.0,-4000.0
89,WIN,BUY,2016-11-07 15:45:00,18098.971305248142,48.19999999999709,18316.649999999994,18196.15,18244.35,3000.0000000000005,-24000.0,3000.0000000000005
90,LOSS,BUY,2016-11-08 15:20:00,18218.0152480931,22.94000000000233,18381.770000000004,18324.42,18347.36,-2000.0,-26000.0,1000.0000000000005
91,WIN,BUY,2016-11-09 10:55:00,18245.945485935328,59.88999999999942,18449.965,18300.24,18360.13,3000.0000000000005,-23000.0,4000.000000000001
92,WIN,BUY,2016-11-11 11:35:00,18641.958839997944,35.080000000001746,18824.660000000003,18736.96,18772.04,2999.9999999999995,-20000.0,7000.0
93,WIN,BUY,2016-11-14 13:05:00,18763.076909091422,27.840000000000146,18885.35,18815.75,18843.59,3000.0000000000005,-17000.0,10000.0
94,LOSS,BUY,2016-11-15 10:50:00,18797.60181603248,15.889999999999418,18859.515,18819.79,18835.68,-2000.0,-19000.0,8000.0
95,LOSS,BUY,2016-11-16 10:55:00,18834.02737455955,20.36999999999898,18902.324999999997,18851.4,18871.77,-2000.0,-21000.0,6000.0
96,WIN,BUY,2016-11-17 11:20:00,18850.478621758084,17.32999999999811,18890.064999999995,18846.74,18864.07,3000.0000000000005,-18000.0,9000.0
97,WIN,BUY,2016-11-28 11:20:00,19067.654122649932,23.599999999998545,19131.249999999996,19072.25,19095.85,3000.0,-15000.0,12000.0
98,WIN,BUY,2016-11-29 10:15:00,19086.690576749705,19.349999999998545,19124.704999999998,19076.33,19095.68,3000.0,-12000.0,15000.0
99,LOSS,BUY,2016-11-30 15:15:00,19144.728257109942,27.18999999999869,19208.674999999996,19140.7,19167.89,-2000.0,-14000.0,13000.0
100,LOSS,BUY,2016-12-01 14:00:00,19162.862322434405,20.779999999998836,19213.609999999997,19161.66,19182.44,-1999.9999999999998,-16000.0,-1999.9999999999998
101,LOSS,BUY,2016-12-02 10:35:00,19167.172689508323,23.889999999999418,19212.655,19152.93,19176.82,-2000.0000000000002,-18000.0,-4000.0
102,LOSS,BUY,2016-12-05 13:50:00,19198.34307047044,6.1599999999998545,19228.199999999997,19212.8,19218.96,-1999.9999999999998,-20000.0,-6000.0
103,WIN,BUY,2016-12-06 10:35:00,19200.377925420416,16.279999999998836,19225.44,19184.74,19201.02,3000.0,-17000.0,-3000.0
104,WIN,BUY,2016-12-12 13:15:00,19663.360178609448,22.210000000002765,19817.965000000004,19762.44,19784.65,3000.0000000000005,-14000.0,4.547473508864641e-13
105,WIN,BUY,2016-12-14 10:50:00,19822.174818868338,17.709999999999127,19906.504999999997,19862.23,19879.94,3000.0000000000005,-11000.0,3000.000000000001
106,LOSS,BUY,2016-12-14 15:35:00,19846.37296318226,119.61000000000058,20047.695,19748.67,19868.28,-2000.0,-13000.0,1000.0000000000009
107,LOSS,BUY,2017-01-11 12:05:00,19910.689767433967,45.0,19998.4,19885.9,19930.9,-2000.0,-15000.0,-999.9999999999991
108,LOSS,BUY,2017-01-20 13:15:00,19793.11211885686,48.61000000000058,19883.815000000002,19762.29,19810.9,-2000.0000000000002,-17000.0,-2999.999999999999
109,LOSS,BUY,2017-01-26 13:55:00,20019.795997137415,18.81999999999971,20122.57,20075.52,20094.34,-1999.9999999999998,-19000.0,-4999.999999999999
110,LOSS,BUY,2017-02-02 10:10:00,19892.70804107444,37.669999999998254,19950.014999999996,19855.84,19893.51,-2000.0,-21000.0,-2000.0
111,WIN,BUY,2017-02-06 13:50:00,20009.47882828729,22.0,20079.42,20024.42,20046.42,3000.0000000000005,-18000.0,1000.0000000000005
112,LOSS,BUY,2017-02-07 13:30:00,20053.0837829446,21.849999999998545,20123.304999999997,20068.68,20090.53,-2000.0000000000002,-20000.0,-999.9999999999998
113,LOSS,BUY,2017-02-14 10:10:00,20319.678854585152,41.04000000000087,20486.49,20383.89,20424.93,-2000.0,-22000.0,-3000.0
114,LOSS,BUY,2017-02-16 11:40:00,20521.34607561777,40.87999999999738,20659.029999999995,20556.83,20597.71,-1999.9999999999998,-24000.0,-5000.0
115,LOSS,BUY,2017-02-17 11:05:00,20553.42830522407,11.719999999997526,20578.179999999993,20548.88,20560.6,-1999.9999999999998,-26000.0,-7000.0
116,LOSS,BUY,2017-02-23 11:35:00,20727.54470913037,35.95999999999913,20848.51,20758.61,20794.57,-2000.0,-28000.0,-9000.0
117,WIN,BUY,2017-02-24 10:40:00,20763.263389740612,27.86999999999898,20810.174999999996,20740.5,20768.37,3000.0,-25000.0,-6000.0
118,LOSS,BUY,2017-02-28 10:35:00,20801.10907100107,12.529999999998836,20849.024999999998,20817.7,20830.23,-2000.0,-27000.0,-8000.0
119,LOSS,BUY,2017-03-02 10:45:00,20993.258093389417,12.739999999997963,21126.299999999996,21094.45,21107.19,-1999.9999999999998,-29000.0,-1999.9999999999998
120,WIN,BUY,2017-03-16 12:00:00,20899.753123594677,21.419999999998254,20947.049999999996,20893.5,20914.92,3000.0,-26000.0,1000.0000000000002
121,WIN,BUY,2017-03-16 15:35:00,20910.567856480215,26.68000000000029,20963.510000000002,20896.81,20923.49,3000.0,-23000.0,4000.0
122,WIN,BUY,2017-03-17 12:00:00,20917.00734088601,19.81999999999971,20960.62,20911.07,20930.89,3000.0,-20000.0,7000.0
123,LOSS,SELL,2017-03-27 13:30:00,20612.168270329144,30.239999999997963,20502.860000000004,20578.46,20548.22,-1999.9999999999998,-22000.0,5000.0
124,WIN,BUY,2017-03-29 10:40:00,20636.27981820994,11.930000000000291,20675.955,20646.13,20658.06,3000.0,-19000.0,8000.0
